entity,lap_number,fatigue_pct,PitStatus,stint_hours
SAI,47,0.0,Running,
HAM,46,0.0,Running,
ALO,52,0.0,Running,
RUS,19,0.0,Running,
SAI,77,0.0,Running,
PIA,21,0.0,Running,
NOR,64,0.0,Running,
SAI,37,0.0,Running,
ALO,27,1.228411157793615,Running,
RUS,55,0.31536470548846063,Running,
HAM,29,0.811591508115681,Pit,
ALO,20,1.0777131193248337,Running,
ALO,25,0.7445069631235535,Running,
NOR,70,0.19707058540535355,Running,
PER,63,0.19707058540535355,Running,
RUS,36,0.640024194068689,Running,
VER,2,0.2917554361570984,Running,
ALO,22,0.38047535063358007,Running,
PER,16,0.8100740682967918,Running,
VER,18,1.429119652666929,Running,
RUS,69,1.0642554411949314,Running,
LEC,54,0.6595969932531487,Pit,
PIA,30,0.531690624356429,Running,
PER,45,0.341387843283969,Pit,
STR,19,0.341387843283969,Running,
LEC,34,0.23561642866004964,Running,
PIA,13,1.0910738442155157,Running,
NOR,43,1.656753619765781,Running,
SAI,62,1.3528790308598826,Running,
HAM,22,0.701565942878419,Running,
STR,52,0.34781049930720587,Running,
NOR,52,0.2602174933857948,Running,
RUS,36,0.2383038366391213,Running,
NOR,73,0.06191521158031427,Running,
SAI,19,0.7572389012843974,Running,
RUS,38,0.896063317532815,Pit,
STR,70,1.3821042925592455,Running,
SAI,57,1.2758637346540411,Running,
VER,20,0.35684110151918275,Pit,
HAM,9,0.37922700382818225,Running,
STR,32,0.40095348626248695,Running,
VER,4,0.3075730593294815,Running,
PIA,50,0.984674051548011,Running,
STR,5,0.8061505117715584,Running,
PIA,20,0.2607638727091646,Running,
RUS,75,0.016861740422664806,Running,
VER,37,0.49711429531766327,Running,
HAM,22,0.30503138402638297,Running,
SAI,58,0.13833193776594532,Running,
ALO,68,0.09860690774335934,Running,
NOR,44,0.42492919611777924,Running,
LEC,34,0.10798336120875912,Running,
HAM,77,0.0017003364985987424,Running,
VER,42,0.6917147055574848,Running,
ALO,9,0.6800036552103108,Running,
HAM,7,0.14954518559971847,Running,
VER,68,0.8625936179767119,Running,
PER,19,0.7393721713089885,Running,
PER,31,0.5716804816756238,Running,
PIA,35,0.7591314684840339,Running,
HAM,57,0.8680680713892136,Running,
PER,61,0.8078657642081613,Running,
VER,31,1.024931262415546,Running,
PIA,53,0.6216576199784329,Running,
VER,32,0.04849548999809189,Running,
PIA,66,0.17096762783490455,Running,
HAM,59,0.7788476812397958,Running,
ALO,10,0.11663841119168711,Running,
SAI,2,0.7194571660879168,Running,
STR,66,1.3002170214676603,Running,
ALO,60,0.9339107316456832,Running,
RUS,17,0.8059120865589366,Running,
VER,16,0.7314774222395806,Running,
RUS,16,0.4404095222618365,Running,
ALO,46,0.4946615594028411,Running,
PIA,39,0.09167702986960097,In Lap,
STR,31,0.7780142399900145,Running,
STR,1,0.879220745026317,In Lap,
LEC,11,1.0891970436969682,Running,
STR,4,1.1356003374262278,Running,
SAI,71,1.6453855271631705,Running,
STR,26,1.4949569234599753,Running,
ALO,50,1.6315472405568507,Running,
LEC,12,1.4210141937318024,Running,
ALO,75,1.3250100739870054,Pit,
ALO,65,1.7680412784255015,Running,
NOR,47,1.6095651738173358,Running,
LEC,53,1.1574480708863966,Running,
ALO,71,0.11462411109855464,Running,
NOR,2,0.8065125451650792,Running,
NOR,24,1.063900981166037,Running,
LEC,4,0.06859381382101626,Running,
RUS,19,0.42283635477746995,Running,
PIA,26,0.4757110035773393,Running,
SAI,75,1.4292044802917694,Running,
PIA,40,1.134186542053507,Pit,
STR,50,0.7453267229858438,Running,
SAI,43,0.4803593300823819,Running,
STR,75,0.8760030460884625,Running,
ALO,67,1.0430413606097297,Running,
VER,12,0.714106133558913,Running,
LEC,67,0.7576303174449489,Running,
SAI,27,0.47159492528326685,Running,
SAI,54,0.33061936302276607,Running,
ALO,66,0.1666535770132066,Running,
RUS,49,0.39432079419640526,Running,
NOR,16,1.1625688255732916,Running,
ALO,2,0.5312961429646185,Running,
PER,60,0.9400707321039827,Running,
NOR,54,0.6938421973897435,Running,
LEC,30,0.05434493670433416,Running,
NOR,38,0.4203050692669838,Running,
RUS,28,0.6180015290571508,Running,
NOR,25,0.26886523132145235,Running,
LEC,10,0.5701322167364242,Running,
RUS,60,0.4085628177432771,Running,
PIA,42,1.310400505791888,Running,
SAI,40,1.111151709738796,Running,
SAI,77,1.4702291700205774,Running,
STR,42,1.4161117945873714,Running,
PIA,47,0.8269150237522214,Running,
PIA,37,0.5317785660627822,Running,
NOR,22,0.38230293543961014,Running,
SAI,57,0.04159668517762227,Pit,
LEC,27,1.0359194154443072,Running,
HAM,41,0.6621741802040046,Running,
HAM,34,1.4315642489351008,Running,
RUS,32,1.479152202317542,Running,
SAI,66,1.1223104758362856,Running,
SAI,12,1.4144125363992066,Running,
HAM,40,1.2837880222975107,Running,
SAI,73,0.6885941523366218,Pit,
NOR,76,0.30319246901086977,Running,
PER,73,0.1468467194896697,In Lap,
VER,10,0.6933712278892932,Running,
PIA,48,1.6561015115444513,Running,
STR,20,2.488443287965729,Running,
RUS,39,3.070018345934236,Running,
PER,60,2.450876972389329,Running,
HAM,66,1.8203771737030126,Running,
PIA,65,1.678552800826219,Running,
SAI,51,1.3787540496876276,Running,
STR,36,0.5421287556950218,Running,
SAI,24,0.46100860410011185,Running,
LEC,27,1.0419760534316937,In Lap,
LEC,2,1.2620587564387595,Running,
STR,31,0.9313386871167408,Running,
STR,57,0.6804599989844756,Running,
HAM,78,0.18624780807906943,Running,
STR,66,0.4832824804378022,Running,
NOR,29,0.7506668622245638,Running,
SAI,15,0.4629409829305653,In Lap,
PER,12,0.298036805650137,Running,
ALO,28,0.6304104862565982,Pit,
STR,24,0.44087280920999256,Running,
RUS,21,0.40433073987853757,Running,
LEC,10,0.684682327462538,Running,
NOR,78,0.13220417126756506,Running,
PIA,18,0.5788943042870226,Running,
ALO,14,0.6356602611314127,Running,
PER,34,0.01635930746892028,Running,
ALO,58,0.46947660581649064,Running,
STR,76,0.042398347615871246,Running,
HAM,22,0.5238556536387982,Running,
LEC,70,0.03163910850265128,Running,
LEC,36,0.740167490288536,Running,
PIA,45,0.6360465240974431,Running,
HAM,36,0.23379373151237032,Running,
SAI,22,0.884999496072128,Running,
VER,78,0.4303014791113072,Running,
NOR,61,0.33894177749477644,Pit,
LEC,56,0.5561931364715653,In Lap,
RUS,33,0.21984482445123882,Running,
LEC,45,0.2417760915972525,Running,
ALO,36,0.5262711577752031,Running,
LEC,20,0.050920788313942034,Pit,
LEC,18,0.6439090833756753,Running,
VER,38,0.1478691074748073,Running,
VER,67,0.17333991920372438,Running,
PER,23,0.869807382239697,Running,
SAI,16,0.23437419209786786,Running,
RUS,59,0.523215396090372,Running,
LEC,69,0.03146394143632991,Running,
LEC,68,0.12706621017288533,Running,
NOR,21,0.04026630335012965,Running,
VER,78,0.5794255947025775,Running,
RUS,78,0.21481321244945367,Running,
PIA,70,1.1273266076130635,Running,
PER,12,0.9639523818926063,Running,
SAI,16,0.4191285508988146,Running,
HAM,14,0.5364520997823099,Running,
SAI,61,0.4572244947169485,Pit,
ALO,71,0.1869940423721586,Running,
LEC,46,0.17323934064044783,Running,
PER,32,0.3343317947246835,Running,
ALO,15,0.9139439594124665,Running,
RUS,44,1.1872991176413439,Running,
HAM,17,0.6247563275583484,In Lap,
VER,41,1.2112600325558858,Running,
PER,54,0.5356894245069937,Running,
PER,44,1.337642607120465,Running,
LEC,5,1.2520303552584031,Running,
STR,27,0.7643371016569243,Running,
PER,78,0.27024297886728416,Running,
NOR,43,0.5202278774352448,Running,
HAM,31,1.1057672428808285,Pit,
HAM,17,0.09139943230831865,Running,
NOR,54,0.7047476069031333,Running,
PIA,62,0.3488128972714222,Running,
NOR,32,1.060756500262551,Running,
NOR,40,0.16130257853339547,Pit,
HAM,13,1.1444155723848297,Running,
SAI,35,0.7129343868002014,Running,
HAM,5,0.49062599706753973,Running,
STR,73,0.5874844145377894,Running,
LEC,29,0.669128925079264,Running,
ALO,70,1.818460330195698,Running,
SAI,25,2.4692186777931404,Running,
VER,22,2.2950001987668625,In Lap,
ALO,66,2.5427712962003897,Running,
LEC,45,2.226852934974187,Running,
STR,69,0.7232870313141473,In Lap,
STR,72,0.3382996734446281,In Lap,
VER,1,0.35191645365520857,Running,
SAI,44,1.057534303153926,Running,
PIA,75,0.38179622809488417,Running,
NOR,39,1.1194469327404062,Running,
SAI,54,1.0744450628521336,Running,
PIA,75,1.7479201544852079,Running,
STR,29,0.6052962042669183,Running,
HAM,54,0.4821673260274814,Running,
LEC,16,0.3110056944466699,Running,
VER,20,0.7718015490497332,Running,
LEC,46,0.2659201193910776,Running,
RUS,67,0.31751005111908814,Running,
RUS,65,0.40545202925716256,Running,
SAI,58,1.4655847249228928,Running,
STR,53,0.5303439372743357,Running,
STR,1,1.2368811695454327,Running,
NOR,66,0.3038538585464573,Running,
NOR,29,0.2552708430814815,Running,
NOR,70,0.3070838533442699,Running,
HAM,8,0.15392845996830828,Running,
ALO,29,0.31931908252494506,Running,
PER,51,0.490088202352508,Running,
ALO,33,0.4031997154937947,Running,
LEC,3,0.5827212590339359,Running,
ALO,60,0.6883518417038964,Running,
HAM,35,1.0893525488929523,Running,
LEC,69,0.5141069352683172,Running,
ALO,76,0.16061489732132755,Running,
HAM,20,0.2513590868850543,In Lap,
PER,73,0.6815703722285336,Running,
ALO,39,0.5132132980100179,Running,
HAM,4,0.5280727584240918,Running,
NOR,19,1.688260087974104,Running,
STR,45,1.0860648465819092,Running,
NOR,43,0.1803541566436362,Running,
STR,13,0.5617089865276287,Running,
VER,13,0.024357440470493263,Running,
VER,60,0.6249457507995188,Running,
VER,57,0.6973419801867289,Running,
PER,52,1.4736139672508628,Running,
NOR,53,1.225731668738725,Running,
STR,43,0.08344773696516289,Running,
HAM,72,0.5843064967061218,Pit,
LEC,72,0.12990981599186602,In Lap,
HAM,42,0.0945522033810986,Running,
LEC,26,0.24287648699492237,Running,
RUS,23,0.7640226081611246,Running,
HAM,43,0.2797861780780328,Running,
ALO,77,0.6172909086263709,Running,
ALO,28,0.6562187705631106,Running,
SAI,9,0.9057480691279305,Running,
NOR,20,1.306405592080183,Running,
LEC,56,1.1127511636459948,Running,
LEC,39,0.664969317489146,Running,
NOR,51,0.5253651827268822,Running,
PER,12,0.6258749051685872,Running,
SAI,55,0.34581586397289255,Running,
PER,78,0.4223901255917914,Running,
PER,11,0.14559476227702373,Running,
PER,26,0.224373490929769,Pit,
NOR,42,0.5432333927408259,Running,
PER,27,0.3500489334232665,Running,
ALO,11,0.30755152806503927,Running,
VER,38,0.033323606169839703,Running,
RUS,43,0.36790170243296283,Running,
LEC,19,0.3705560883746545,Running,
LEC,64,0.7131754491650057,Running,
RUS,6,0.1329346098985551,Running,
NOR,46,0.42406697888334594,Running,
HAM,42,0.219933252557937,Running,
NOR,65,0.0326542256580839,In Lap,
LEC,72,0.4055012076346967,In Lap,
LEC,59,0.7079712247665362,Running,
RUS,52,0.35457679006091203,Running,
PER,47,0.8171390928479849,Running,
NOR,7,0.10872907640838009,Running,
STR,11,1.0416855740935231,Running,
RUS,61,0.5672518704917778,Running,
ALO,68,0.46019033066462406,Running,
LEC,25,0.28172973691325404,Running,
RUS,12,0.21090324879676076,Running,
NOR,26,0.33924061218296025,Running,
LEC,12,0.5511030521596392,Running,
HAM,43,0.7900326315563353,Running,
RUS,51,0.31533600134734524,Running,
SAI,37,0.504851457749321,Running,
LEC,46,1.127939312928092,Running,
NOR,53,0.9762146217321271,Running,
VER,13,0.38305949967168546,In Lap,
STR,54,0.20505039919249818,Running,
PIA,57,0.057293117179260666,Running,
PER,4,0.43092108738240487,Running,
PIA,75,1.0778056881557154,Running,
NOR,49,1.2403060102061227,Running,
ALO,7,1.116010888627965,Running,
ALO,11,0.6674965347093595,Running,
VER,54,0.8852771917637767,Running,
PER,45,0.7027728693001709,Running,
SAI,23,0.06383517685771556,In Lap,
VER,28,0.2586480025724869,Running,
PIA,57,1.3501028559591357,Running,
VER,26,1.7185008549936085,Running,
PIA,25,2.348572057660529,Running,
LEC,54,2.3529672945556177,In Lap,
ALO,29,2.3009222330239125,Running,
LEC,36,1.2354278922426645,Running,
STR,14,0.12565304344281658,Running,
PER,78,0.6583605431158754,Running,
SAI,35,1.3261487999023296,Running,
PIA,30,2.029835336790943,Running,
SAI,17,3.088488643094128,Running,
PIA,67,3.0130439189292924,Running,
NOR,30,2.297794138796057,Running,
VER,45,2.048072799335522,Running,
STR,51,0.5879543041429042,Running,
ALO,47,0.3841560412204528,Running,
PIA,53,0.47294437995223787,Running,
SAI,64,1.1648548328268253,Running,
STR,38,1.1488446765228075,Running,
HAM,64,0.10257725215368635,Running,
HAM,7,0.32154119332041403,Running,
LEC,22,0.9629476316504613,Running,
ALO,41,0.12729131914859387,Running,
NOR,74,1.0138880840322329,Running,
SAI,10,0.25083389872628953,Running,
VER,57,0.039900597977744756,Running,
VER,7,0.6915004669920579,Running,
SAI,50,1.0554232693582328,Running,
PER,52,0.3587562873380329,Running,
NOR,33,0.2043277927946674,Running,
STR,1,0.44613103051646674,Running,
PIA,53,0.6573233092346448,Running,
PER,60,0.40905236744718243,Running,
PIA,34,0.02175872433758802,Running,
PIA,4,0.41817867537595893,Running,
PER,17,0.3409611850143268,Running,
LEC,4,0.4764154777127383,In Lap,
HAM,43,0.996831404169092,Running,
PIA,4,0.4821127436314174,Running,
PER,1,0.23077838288117491,Running,
PER,71,0.5904377392760923,Running,
RUS,50,0.9358407755828593,Running,
LEC,73,0.6891040059048879,Running,
ALO,61,0.02911418294939544,Running,
RUS,35,0.1295343318975392,In Lap,
RUS,8,0.8613155801216271,Running,
SAI,24,0.842973067480729,Running,
HAM,36,0.8723711318878669,Running,
PER,50,0.8490171542308883,Pit,
HAM,43,1.690084959306365,Running,
NOR,27,2.127556886028434,Running,
SAI,32,1.1148532259442512,Running,
ALO,78,0.5258774419762968,Running,
HAM,18,0.18175723807177524,Running,
VER,28,0.46790538216641003,Running,
PIA,29,0.6659795662946805,Pit,
NOR,16,0.9084870046406207,Running,
LEC,47,1.2246923858587637,Running,
ALO,59,1.14839089656103,Running,
NOR,31,0.7881778229718195,Running,
PIA,4,0.3738812863167934,Running,
SAI,37,0.2000814151024266,Running,
PIA,17,0.003393471222608302,Running,
RUS,39,0.3528312204771289,Running,
PIA,48,0.3933457799225798,Running,
RUS,46,0.3925529552421314,In Lap,
SAI,48,0.5224380483810589,Running,
STR,39,0.09288234396541278,Running,
RUS,4,0.19027660642015887,Running,
LEC,30,0.39646419367538877,Running,
PIA,30,0.8113604426433607,Running,
PIA,22,1.2567764027647588,Running,
LEC,75,0.991109742945992,Pit,
VER,66,0.43649081316972094,Running,
PER,12,0.8323142558691556,Running,
STR,36,0.6276265569787096,Running,
ALO,18,0.868798504189422,Running,
RUS,53,0.058640357962941314,Running,
LEC,71,0.8378076591480266,Running,
SAI,1,0.7900612768212523,Running,
RUS,58,0.17219547216786868,Running,
PER,6,0.564131772069111,Running,
SAI,70,0.10089495007267885,Running,
NOR,44,0.3467733625457256,Running,
PIA,72,0.2892797304603817,Pit,
NOR,24,0.7190415173742581,Running,
RUS,19,1.206285969482973,Running,
PER,18,0.7776332680345153,Running,
STR,30,0.4596091314404291,Running,
RUS,42,0.8783755172568547,Running,
LEC,33,0.007622119013023232,Running,
HAM,74,0.3979563037867409,Running,
RUS,12,0.07890479854439914,Running,
PIA,27,0.0823222030245152,Running,
PIA,39,0.14822961808746843,Running,
RUS,9,0.9377358166308442,Running,
SAI,21,0.5183952953714405,Running,
HAM,76,0.4776159200448826,Running,
LEC,29,0.5078183618277721,Running,
RUS,33,1.0199102836897636,Running,
SAI,62,0.31743751974153134,Running,
PIA,15,0.23360599370350343,Running,
PIA,2,0.18996226721608306,Running,
PER,52,1.9531734020655875,Running,
RUS,44,1.7692812652351813,Running,
HAM,54,1.2179086582236986,Running,
VER,18,0.10525188100355132,Running,
HAM,3,0.3698227348260488,Running,
PIA,7,0.1537983273706467,Running,
PIA,43,0.11741228902396456,Running,
NOR,38,0.08219462371066716,Running,
PIA,37,0.27951380910369167,Running,
LEC,58,0.3232080529142589,Running,
ALO,33,0.8788521438593322,Running,
RUS,59,1.1934055639271024,Running,
HAM,11,1.0081467332250071,Running,
ALO,68,0.16293000845913896,Running,
SAI,68,0.12576192516096235,Running,
VER,22,0.1718117037630723,Running,
LEC,66,0.37265085301484424,Running,
HAM,44,0.5904666524707364,Running,
ALO,6,0.44061838173772294,Running,
VER,42,0.6358151037749782,Running,
NOR,25,0.5590237522884498,Running,
LEC,57,0.09865921134983163,Running,
LEC,55,0.5297731741563366,Running,
NOR,16,0.2504953687931674,Running,
RUS,14,0.5523090951886911,Running,
NOR,39,0.10717378702148339,Running,
LEC,28,1.0320315674156144,Running,
LEC,51,0.42861092318795535,Running,
ALO,49,0.2094317065723994,Running,
PIA,9,0.35042595995264936,Running,
VER,58,0.5918827625281384,Running,
NOR,45,0.5070065692456118,Running,
VER,22,0.055348973690090564,Running,
NOR,32,0.3385346939993303,Running,
SAI,69,0.32425348363421536,Running,
LEC,69,0.010241420227280473,Running,
PIA,42,0.022483290123662125,In Lap,
ALO,53,0.3841508770973362,Running,
PIA,59,0.42953974435561426,In Lap,
PIA,74,0.46913217637826465,Running,
PIA,39,0.12735212938610185,Running,
VER,15,0.37278670887404,Running,
NOR,71,0.722855324708771,Running,
STR,29,0.636689263199891,Running,
SAI,3,0.8264878661476821,Running,
HAM,10,1.5397776067185232,Pit,
PIA,29,1.8521387628646024,Running,
RUS,35,2.2441660719832726,Running,
VER,6,2.4880176819578477,Running,
ALO,12,1.8340284607201482,Running,
HAM,38,1.3292101377581924,Running,
STR,77,0.3527160252153799,Running,
RUS,19,0.17607358082525337,Running,
STR,67,0.2664077927196806,Running,
HAM,8,0.9856797898929126,Running,
PIA,8,1.973833250856083,Running,
RUS,47,2.2739894825110727,Running,
STR,4,2.452286622174195,Running,
ALO,51,1.8217362564529966,Pit,
NOR,67,1.7822430983142499,Running,
LEC,45,2.312805126063794,Running,
NOR,8,2.820948458957334,Running,
HAM,16,1.2216716789981956,Running,
VER,77,0.5771831370584415,Running,
LEC,67,0.05475059139444516,Running,
SAI,9,0.27573271600557087,Running,
ALO,60,0.6667991031929708,Running,
SAI,78,1.1682876621947071,Running,
RUS,77,2.184981222552698,Running,
LEC,71,1.8903768523715558,Running,
SAI,15,0.3988841226873027,Running,
SAI,71,0.8010612672711387,Running,
STR,41,0.47103757321278195,Running,
NOR,22,0.6147012734285764,Running,
STR,24,0.1253256587452692,Running,
LEC,44,0.48372706958068473,Running,
LEC,1,0.25939973954918205,Running,
HAM,10,0.1570379727429086,Pit,
STR,72,0.1552353228304451,Running,
PER,56,0.29301760472335986,Running,
NOR,50,0.07166744893585958,Running,
LEC,12,0.044756136313707506,Running,
HAM,60,0.05520821983090035,Running,
STR,26,0.9303108492043438,Running,
NOR,78,0.6805236298613265,Running,
STR,41,0.04032116178216277,Running,
SAI,36,0.2645652748885008,Running,
HAM,23,0.32738177688648173,Running,
NOR,43,0.22307916532735145,Running,
PIA,6,0.2240148752885765,Running,
RUS,69,0.3242308510075023,Running,
RUS,43,0.17560343668004547,Running,
NOR,25,0.9580609747083718,Pit,
STR,18,0.36746505186396883,Running,
HAM,62,0.15795102277434275,Running,
RUS,13,0.10080765252052232,Running,
HAM,43,0.23217759445779695,Running,
RUS,78,0.8719287639818191,Running,
SAI,28,1.445296526959769,Running,
STR,18,0.890948742912888,Running,
SAI,59,1.3001788969320318,Running,
RUS,60,0.5904989328677737,Running,
PIA,63,0.4329979138884166,Running,
PIA,57,0.1792602972072968,Running,
SAI,51,0.4185806505045783,Running,
PIA,56,0.3092740159891333,Running,
RUS,27,0.2026028099820748,Running,
NOR,32,0.31282930157080224,Running,
SAI,9,0.3620893089005539,Running,
VER,68,1.1119879474870835,Running,
STR,46,1.8070271644401643,Running,
PIA,67,0.5330753947434306,Running,
PIA,26,0.7451782078166949,Running,
LEC,8,0.1156989393976321,Running,
PER,6,0.07591526658595749,Running,
SAI,24,0.8907098468773272,Running,
ALO,48,0.3525075182931006,Running,
PIA,45,0.5814256235527573,Running,
STR,13,0.26718057660578415,Running,
VER,69,0.4288434660512361,Running,
PIA,25,0.6771328824395642,Running,
VER,20,0.7936741289181468,Running,
RUS,66,0.18771316826645262,Running,
RUS,74,0.40694345680573757,Running,
PER,45,0.5413649641159632,Running,
NOR,47,0.5334134096899881,Running,
ALO,63,0.9770001840221851,Running,
LEC,76,0.5420447998351674,Running,
PER,77,0.199805055354077,Running,
HAM,55,0.1273529992980832,Running,
LEC,75,0.5854727631616208,Running,
SAI,19,0.031026205198392276,Running,
STR,35,0.1699440774318564,Running,
HAM,53,0.12334042619999153,Running,
HAM,26,0.6753098698350557,Running,
PER,14,0.9404254422889933,Running,
NOR,45,0.7102824520628368,Running,
PER,44,0.6302883649317372,Running,
SAI,65,0.37427176741465645,Running,
PIA,51,0.37501774935643356,Running,
PIA,43,0.0373959817095329,Running,
NOR,23,0.13365159537154225,Running,
SAI,56,0.836907444383575,Running,
NOR,19,0.2550460195564347,Running,
VER,76,0.9060009967358409,Running,
PIA,55,0.8733173210213205,Running,
HAM,60,1.3013113978681545,Running,
ALO,59,1.2083630979209476,Running,
STR,33,0.12196218591180308,Running,
SAI,19,0.5364415516407456,Running,
