lap_number,lap_time,condition,tire,fatigue_factor,throttle_input,brake_bias
1,85.81193555815396,FATIGUED,SOFT,0.02,0.997,0.2770680852134281
2,86.09899461846368,FATIGUED,HARD,0.04,0.994,0.30139472837417264
3,86.26465574574522,FATIGUED,HARD,0.06,0.991,0.33399382803639566
4,86.5000600210726,FATIGUED,HARD,0.08,0.988,0.23112952336589637
5,87.33055092486117,FATIGUED,SOFT,0.1,0.985,0.3241154328855413
6,87.00364503914436,FATIGUED,SOFT,0.12,0.982,0.36909193920565886
7,87.34659896709356,FATIGUED,MEDIUM,0.14,0.979,0.27811884505509166
8,87.79088873457692,FATIGUED,MEDIUM,0.16,0.976,0.27944025077555884
9,88.33715591295432,FATIGUED,HARD,0.18,0.973,0.32208839372985426
10,88.73459769078642,FATIGUED,HARD,0.2,0.97,0.2658077415531868
11,89.5277175397014,FATIGUED,MEDIUM,0.22,0.967,0.33292179618369394
12,89.41469732030671,FATIGUED,MEDIUM,0.24,0.964,0.3305974103621251
13,88.12708817786873,FATIGUED,HARD,0.25,0.9625,0.2804970342565299
14,89.66206155506548,FATIGUED,MEDIUM,0.25,0.9625,0.2353513938319264
15,90.82591010926473,FATIGUED,HARD,0.25,0.9625,0.2745012224774989
16,90.33288899807624,FATIGUED,MEDIUM,0.25,0.9625,0.23634801990786655
17,90.89242693097376,FATIGUED,HARD,0.25,0.9625,0.36628842201754713
18,91.53508840537148,FATIGUED,HARD,0.25,0.9625,0.3031716424170103
19,91.81227600743013,FATIGUED,HARD,0.25,0.9625,0.26080673113367114
20,92.13383006770638,FATIGUED,HARD,0.25,0.9625,0.2750153373994112
21,91.10493012255651,FATIGUED,HARD,0.25,0.9625,0.3014933552333738
22,91.22844707442927,FATIGUED,SOFT,0.25,0.9625,0.3402199333586161
23,93.44634561915,FATIGUED,MEDIUM,0.25,0.9625,0.33078369342472963
24,93.30498242830618,FATIGUED,HARD,0.25,0.9625,0.2872295793365205
25,93.03628960666123,FATIGUED,HARD,0.25,0.9625,0.3458258868591163
26,94.5326853467647,FATIGUED,SOFT,0.25,0.9625,0.31917236821844835
27,93.91965834702702,FATIGUED,MEDIUM,0.25,0.9625,0.3360850991041157
28,93.90949136796623,FATIGUED,SOFT,0.25,0.9625,0.34543528129703666
29,94.58147754359203,FATIGUED,SOFT,0.25,0.9625,0.2518648040321665
30,95.76542853583132,FATIGUED,MEDIUM,0.25,0.9625,0.25820562502896255
31,95.64693722019992,FATIGUED,SOFT,0.25,0.9625,0.31093563319658635
32,95.52045262410678,FATIGUED,MEDIUM,0.25,0.9625,0.2943198450484727
33,96.87113318016156,FATIGUED,SOFT,0.25,0.9625,0.28828740385835167
34,96.53088996948765,FATIGUED,HARD,0.25,0.9625,0.29423222613790706
35,97.55634625571206,FATIGUED,SOFT,0.25,0.9625,0.24480951251145414
36,97.34033968993738,FATIGUED,HARD,0.25,0.9625,0.3070052477585436
37,98.4038581473312,FATIGUED,MEDIUM,0.25,0.9625,0.19011292533908147
38,97.85711190730987,FATIGUED,HARD,0.25,0.9625,0.29366850398834654
39,99.42441880468586,FATIGUED,MEDIUM,0.25,0.9625,0.22473170358101263
40,100.14721304631672,FATIGUED,MEDIUM,0.25,0.9625,0.29082529125100065
41,101.27636759479108,FATIGUED,HARD,0.25,0.9625,0.3418546394971333
42,100.98851227751648,FATIGUED,HARD,0.25,0.9625,0.2819813519984098
43,101.4966237530039,FATIGUED,SOFT,0.25,0.9625,0.3135687899516131
44,102.68099108789187,FATIGUED,SOFT,0.25,0.9625,0.33595576646369146
45,103.5722661839421,FATIGUED,MEDIUM,0.25,0.9625,0.29809949949543385
46,103.9831096752308,FATIGUED,SOFT,0.25,0.9625,0.3019225965491908
47,104.67393128829985,FATIGUED,SOFT,0.25,0.9625,0.25208688344927743
48,105.9436055912705,FATIGUED,MEDIUM,0.25,0.9625,0.2973727130445677
49,105.22877353045058,FATIGUED,MEDIUM,0.25,0.9625,0.3398951748013162
50,105.56261746100702,FATIGUED,MEDIUM,0.25,0.9625,0.2319440210995526
51,106.83157594541616,FATIGUED,HARD,0.25,0.9625,0.2861696027446484
52,108.04375799369913,FATIGUED,HARD,0.25,0.9625,0.33817805778036264
53,107.83484146164837,FATIGUED,MEDIUM,0.25,0.9625,0.29883966648724425
54,108.7282724846629,FATIGUED,SOFT,0.25,0.9625,0.2447272205636909
55,110.21377693797407,FATIGUED,HARD,0.25,0.9625,0.26624303786689446
56,110.7221664730886,FATIGUED,HARD,0.25,0.9625,0.25577466266470933
57,112.10757521849482,FATIGUED,MEDIUM,0.25,0.9625,0.3376983677364093
58,111.58484949227615,FATIGUED,MEDIUM,0.25,0.9625,0.3010804074043369
59,113.03990876630321,FATIGUED,HARD,0.25,0.9625,0.31200258903831096
60,114.19244050353447,FATIGUED,SOFT,0.25,0.9625,0.34707888852759566
61,114.07929194701553,FATIGUED,SOFT,0.25,0.9625,0.2537521852021626
62,115.79906188825379,FATIGUED,SOFT,0.25,0.9625,0.24907904476399417
63,116.21918113713353,FATIGUED,HARD,0.25,0.9625,0.2951920526766904
64,117.20288485872234,FATIGUED,SOFT,0.25,0.9625,0.3097696032180737
65,117.9158257331269,FATIGUED,HARD,0.25,0.9625,0.27819622137764966
66,119.46780853857469,FATIGUED,SOFT,0.25,0.9625,0.23140668313571341
67,119.6625832181728,FATIGUED,MEDIUM,0.25,0.9625,0.2699867694961412
68,121.03111514536978,FATIGUED,MEDIUM,0.25,0.9625,0.29347009404251967
69,122.20558444896548,FATIGUED,MEDIUM,0.25,0.9625,0.18402096186580902
70,122.82651666012146,FATIGUED,HARD,0.25,0.9625,0.38728737541224445
71,123.9474455315776,FATIGUED,SOFT,0.25,0.9625,0.33939737684361243
72,125.59841419734401,FATIGUED,HARD,0.25,0.9625,0.20478730039739318
73,126.12005954168902,FATIGUED,MEDIUM,0.25,0.9625,0.30500649988765616
74,127.79506514625965,FATIGUED,SOFT,0.25,0.9625,0.34473912333404555
75,127.794326688931,FATIGUED,SOFT,0.25,0.9625,0.25453661353076235
76,129.20013139489586,FATIGUED,HARD,0.25,0.9625,0.3174354851166904
77,130.10106426619527,FATIGUED,MEDIUM,0.25,0.9625,0.29817700188679386
78,131.62494510113655,FATIGUED,HARD,0.25,0.9625,0.21357830147455148
