Driver,LapNumber,LapTime,Compound,PitStatus,SessionTime
SAI,47,85.27219279232519,SOFT,Running,2024-05-26 00:00:00
HAM,46,87.21967780130097,HARD,Running,2024-05-26 00:00:12
ALO,52,81.06080978010668,HARD,Running,2024-05-26 00:00:24
RUS,19,87.10611661750522,SOFT,Running,2024-05-26 00:00:36
SAI,77,84.73156927786115,SOFT,Running,2024-05-26 00:00:48
PIA,21,86.49608840334305,MEDIUM,Running,2024-05-26 00:01:00
NOR,64,84.33121009374744,MEDIUM,Running,2024-05-26 00:01:12
SAI,37,83.11194984586,SOFT,Running,2024-05-26 00:01:24
ALO,27,86.11146725637,HARD,Running,2024-05-26 00:01:36
RUS,55,82.79724505802184,MEDIUM,Running,2024-05-26 00:01:48
HAM,29,84.78058062919912,SOFT,Pit,2024-05-26 00:02:00
ALO,20,84.03762655601253,SOFT,Running,2024-05-26 00:02:12
ALO,25,85.18494143107175,SOFT,Running,2024-05-26 00:02:24
NOR,70,86.93497641527509,MEDIUM,Running,2024-05-26 00:02:36
PER,63,84.61827848618192,SOFT,Running,2024-05-26 00:02:48
RUS,36,86.0662395853427,HARD,Running,2024-05-26 00:03:00
VER,2,86.83082286880875,SOFT,Running,2024-05-26 00:03:12
ALO,22,84.40694090857119,MEDIUM,Running,2024-05-26 00:03:24
PER,16,84.43304364830561,HARD,Running,2024-05-26 00:03:36
VER,18,87.96479202396038,HARD,Running,2024-05-26 00:03:48
RUS,69,85.35710044839976,SOFT,Running,2024-05-26 00:04:00
LEC,54,86.41644982763738,SOFT,Pit,2024-05-26 00:04:12
PIA,30,86.40280996624661,HARD,Running,2024-05-26 00:04:24
PER,45,83.34362230905964,SOFT,Pit,2024-05-26 00:04:36
STR,19,84.1304234228904,MEDIUM,Running,2024-05-26 00:04:48
LEC,34,86.17562525437204,HARD,Running,2024-05-26 00:05:00
PIA,13,81.77883320389745,SOFT,Running,2024-05-26 00:05:12
NOR,43,85.11966428933084,HARD,Running,2024-05-26 00:05:24
SAI,62,83.942489029693,SOFT,Running,2024-05-26 00:05:36
HAM,22,87.49891105555798,SOFT,Running,2024-05-26 00:05:48
STR,52,86.1230078156789,MEDIUM,Running,2024-05-26 00:06:00
NOR,52,87.64424333530322,SOFT,Running,2024-05-26 00:06:12
RUS,36,85.42957565960397,SOFT,Running,2024-05-26 00:06:24
NOR,73,85.29499945301936,SOFT,Running,2024-05-26 00:06:36
SAI,19,84.95112686565679,MEDIUM,Running,2024-05-26 00:06:48
RUS,38,84.59447508080083,SOFT,Pit,2024-05-26 00:07:00
STR,70,90.33238141030077,SOFT,Running,2024-05-26 00:07:12
SAI,57,86.9529051284278,SOFT,Running,2024-05-26 00:07:24
VER,20,83.58086061731379,HARD,Pit,2024-05-26 00:07:36
HAM,9,90.25075596449192,MEDIUM,Running,2024-05-26 00:07:48
STR,32,84.7710361169959,HARD,Running,2024-05-26 00:08:00
